# BEGIN PLOT
DrawOnly=Envel-100.000000-/ATLAS_2014_I1304688_custom/d02-x03-y01  /REF/ATLAS_2014_I1304688_custom/d02-x03-y01
RatioPlot=1
RatioPlotReference=/REF/ATLAS_2014_I1304688_custom/d02-x03-y01
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /REF/ATLAS_2014_I1304688_custom/d02-x03-y01
AidaPath=/REF/ATLAS_2014_I1304688_custom/d02-x03-y01
Title=ATLAS data
PolyMarker=*
ErrorBars=1
## Area: 1.038651e+01
## Num bins: 6
## xlow  	xhigh   	val    	errminus	errplus
2.500000e+01	3.500000e+01	1.921700e-01	2.883400e-02	2.883400e-02
3.500000e+01	5.000000e+01	2.595500e-01	2.069900e-02	2.069900e-02
5.000000e+01	7.000000e+01	1.497800e-01	1.397100e-02	1.397100e-02
7.000000e+01	9.000000e+01	4.941800e-02	5.159000e-03	5.159000e-03
9.000000e+01	1.200000e+02	1.469400e-02	1.786000e-03	1.786000e-03
1.200000e+02	5.300000e+02	3.580000e-04	5.500000e-05	5.500000e-05
# END HISTOGRAM


# BEGIN HISTOGRAM Envel-100.000000-/ATLAS_2014_I1304688_custom/d02-x03-y01
Title=Envelope (CL 100.0 \%)
ErrorBands=1
ErrorBandColor=blue!40!
ErrorBandOpacity=0.45
LineStyle=none
## xlow  	xhigh   	val    	errminus	errplus
2.500000e+01	3.500000e+01	1.959048e-01	5.053550e-03	5.053550e-03
3.500000e+01	5.000000e+01	2.690541e-01	2.434750e-03	2.434750e-03
5.000000e+01	7.000000e+01	1.567769e-01	2.181100e-03	2.181100e-03
7.000000e+01	9.000000e+01	5.482138e-02	1.790375e-03	1.790375e-03
9.000000e+01	1.200000e+02	1.582476e-02	7.323000e-04	7.323000e-04
1.200000e+02	5.300000e+02	3.717765e-04	2.116500e-05	2.116500e-05
# END HISTOGRAM
